"scientificName","commonNameFr","commonNameEn","category"
"Azara serrata","","saw toothed azara","Ornamental"
"Azara serrata ANDEAN GOLD","","saw toothed azara","Ornamental"
"Azolla filiculoides","","water fern","Ornamental"
"Baccharis angustifolia","","false willow","Ornamental"
"Baccharis halimifolia","","eastern baccharis","Ornamental"
"Baccharis pilularis","","dwarf chapparal-broom","Ornamental"
"Bambusa ventricosa","","Buddha belly bamboo","Ornamental"
"Baptisia alba","","false indigo","Ornamental"
"Baptisia australis","","blue false indigo","Ornamental"
"Baptisia bracteata","","false indigo","Ornamental"
"Baptisia lanceolata","","gopherweed","Ornamental"
"Baptisia perfoliata","","false indigo","Ornamental"
"Baptisia sphaerocarpa","","yellow wild indigo","Ornamental"
"Baptisia tinctoria","","wild indigo","Ornamental"
"Barleria cristata","","Philippine violet","Ornamental"
"Basella alba","","Malabar spinach","Vegetable"
"Bassia scoparia f. trichophylla","","burning bush","Ornamental"
"Bauhinia blakeana","","Hong Kong orchid tree","Ornamental"
"Beaucarnea recurvata","","ponytail palm","Ornamental"
"Beesia deltophylla","","beesia","Ornamental"
"Begonia benariensis BIG SERIES","","begonia","Ornamental"
"Begonia boliviensis BOSSA NOVA RED","","begonia","Ornamental"
"Begonia FUNKY PINK","","hybrid tuberous begonia","Ornamental"
"Begonia grandis","","hardy begonia","Ornamental"
"Begonia grandis subsp. evansiana","","hardy begonia","Ornamental"
"Begonia masoniana","","iron cross begonia","Ornamental"
"Begonia rex-cultorum","","rex begonia","Ornamental"
"Begonia (Tuberosa Group)","","hybrid tuberous begonia","Ornamental"
"Bellis perennis","","English daisy","Ornamental"
"Benincasa hispida","","wax gourd","Ornamental"
"Berberis aquifolium","","holly-leaved barberry","Ornamental"
"Berberis dictyota","","Jepson's Oregon-grape","Ornamental"
"Berberis mentorensis","","barberry","Ornamental"
"Berberis replicata","","barberry","Ornamental"
"Berberis thunbergii","","Japanese barberry","Ornamental"
"Berchemia scandens","","supple-Jack","Ornamental"
"Bergenia ciliata","","winter begonia","Ornamental"
"Bergenia crassifolia","","pigsqueak","Ornamental"
"Bergenia DRAGONFLY ANGEL KISS","","bergenia","Ornamental"
"Bergenia DRAGONFLY SAKURA","","bergenia","Ornamental"
"Bergenia purpurascens","","purple bergenia","Ornamental"
"Berlandiera lyrata","","chocolate flower","Ornamental"
"Berlandiera texana","","green eyes","Ornamental"
"Bertolonia maculata","","jewel plant","Ornamental"
"Betula dahurica","","Asian black birch","Ornamental"
"Betula lenta","","sweet birch","Ornamental"
"Betula occidentalis","","water birch","Ornamental"
"Betula pendula","","European white birch","Ornamental"
"Betula platyphylla","","Japanese white birch","Ornamental"
"Bidens aurea","","Arizona beggarstick","Ornamental"
"Bismarckia nobilis","","Bismarck palm","Ornamental"
"Bistorta officinalis","","meadow bistort","Ornamental"
"Blechnum spicant","","deer fern","Ornamental"
"Bletilla striata","","Chinese ground orchid","Ornamental"
"Blighia sapida","","akee","Ornamental"
"Boltonia asteroides","","false aster","Ornamental"
"Bombax ceiba","","red silk cottontree","Ornamental"
"Borago officinalis","","borage","Ornamental"
"Bouteloua curtipendula","","sideoats grass","Ornamental"
"Bouteloua gracilis","","blue grama","Ornamental"
"Brachyscome (group)","","Swan River daisy","Ornamental"
"Brachyscome iberidifolia","","Swan River daisy","Ornamental"
"Brassica juncea","","Chinese mustard","Ornamental"
"Brassica napus (Oleifera Group)","","rapeseed","Ornamental"
